uniprot_id,gene,class,reason,blood_cor,ery,myo
P0DOY2,IGLC2,immunoglobulin,immunoglobulin chain; plasma-derived,0.619,2864.8,0
B9A064,IGLL5,immunoglobulin,immunoglobulin chain; plasma-derived,0.479,2.3,0
P01700,IGLV1-47,immunoglobulin,immunoglobulin chain; plasma-derived,0.471,0,0
P80748,IGLV3-21,immunoglobulin,immunoglobulin chain; plasma-derived,0.579,3,0
P01591,JCHAIN,immunoglobulin,immunoglobulin chain; plasma-derived,0.518,7.7,1.7
P59666,DEFA3,leukocyte,leukocyte protein; myonuclei RNA below 2 nCPM,0.545,21.3,0
P13796,LCP1,leukocyte,leukocyte protein; myonuclei RNA below 2 nCPM,0.433,19.4,0.6
P61626,LYZ,leukocyte,leukocyte protein; myonuclei RNA below 2 nCPM,0.663,41.3,1.7
P05109,S100A8,leukocyte,leukocyte protein; myonuclei RNA below 2 nCPM,0.593,237.2,0.1
P06702,S100A9,leukocyte,leukocyte protein; myonuclei RNA below 2 nCPM,0.58,283.3,0.1
P04217,A1BG,plasma,secreted plasma protein,0.593,0,0
P01023,A2M,plasma,secreted plasma protein,0.647,0.3,105.1
P01019,AGT,plasma,secreted plasma protein,0.472,0,6
P02765,AHSG,plasma,secreted plasma protein,0.497,0,0
P02768,ALB,plasma,secreted plasma protein,0.634,0,0
P02760,AMBP,plasma,secreted plasma protein,0.702,0,0.4
P02743,APCS,plasma,secreted plasma protein,0.618,0,0
P02647,APOA1,plasma,secreted plasma protein,0.637,0.2,0.1
P02652,APOA2,plasma,secreted plasma protein,0.557,0,0
P04114,APOB,plasma,secreted plasma protein,0.674,0,3.9
P02656,APOC3,plasma,secreted plasma protein,0.635,0,0
P05090,APOD,plasma,secreted plasma protein,0.588,0,2
P02749,APOH,plasma,secreted plasma protein,0.466,0,0.1
P10909,CLU,plasma,secreted plasma protein,0.66,7.4,1.5
P00450,CP,plasma,secreted plasma protein,0.581,0,2.3
P00734,F2,plasma,secreted plasma protein,0.464,0,0.2
P02675,FGB,plasma,secreted plasma protein,0.495,0,0
P02679,FGG,plasma,secreted plasma protein,0.488,0,0
P02774,GC,plasma,secreted plasma protein,0.505,0,0.2
P00738,HP,plasma,secreted plasma protein,0.532,1.6,0.1
P02790,HPX,plasma,secreted plasma protein,0.53,0,0.3
P19827,ITIH1,plasma,secreted plasma protein,0.568,0,0.2
P19823,ITIH2,plasma,secreted plasma protein,0.574,0,44
Q14624,ITIH4,plasma,secreted plasma protein,0.565,0,21.4
P03952,KLKB1,plasma,secreted plasma protein,0.618,0,0.3
P01042,KNG1,plasma,secreted plasma protein,0.528,0,0.1
P02750,LRG1,plasma,secreted plasma protein,0.488,0,0
P02763,ORM1,plasma,secreted plasma protein,0.647,0.1,0
P19652,ORM2,plasma,secreted plasma protein,0.46,0.1,0
P00747,PLG,plasma,secreted plasma protein,0.506,0,0.3
P27169,PON1,plasma,secreted plasma protein,0.579,0,1.1
P01009,SERPINA1,plasma,secreted plasma protein,0.632,0.8,0
P01011,SERPINA3,plasma,secreted plasma protein,0.525,0,0
P08185,SERPINA6,plasma,secreted plasma protein,0.454,0,0
P01008,SERPINC1,plasma,secreted plasma protein,0.556,0,0.7
P05546,SERPIND1,plasma,secreted plasma protein,0.502,0,3.5
P36955,SERPINF1,plasma,secreted plasma protein,0.462,0,28.3
P08697,SERPINF2,plasma,secreted plasma protein,0.544,0,0.3
P02787,TF,plasma,secreted plasma protein,0.649,0,0.3
P02766,TTR,plasma,secreted plasma protein,0.493,0,0
P04004,VTN,plasma,secreted plasma protein,0.592,0,0.4
